file,label,duration_sec,snr_before,snr_after,flat_before,flat_after,hf_before,hf_after
F_0050_10y9m_1 (mp3cut.net)10.mp3,Prolongatio sample,3.3719375,12.678068,21.808467864990234,0.032291535288095474,0.02672024630010128,0.00676736980676651,0.025859693065285683
F_0050_10y9m_1 (mp3cut.net)7.mp3,Prolongatio sample,1.804625,14.871822,19.550416946411133,0.013176844455301762,0.004224945791065693,0.04795731604099274,0.15780431032180786
F_0050_10y9m_1 (mp3cut.net)8.mp3,Prolongatio sample,3.3980625,22.069664,39.14566421508789,0.013291172683238983,0.00380407040938735,0.03456803411245346,0.16854335367679596
F_0050_10y9m_1 (mp3cut.net)9.mp3,Prolongatio sample,2.4315625,13.360081,29.39556312561035,0.014223892241716385,0.0080752307549119,0.15953652560710907,0.3892059028148651
F_0111_9y6m_1 (mp3cut.net)2.mp3,Prolongatio sample,6.4283125,12.912296,30.51511573791504,0.048888929188251495,0.008935117162764072,0.05896328389644623,0.2551276385784149
F_0111_9y6m_1 (mp3cut.net)3.mp3,Prolongatio sample,3.7638125,15.417672,35.8582763671875,0.01378133986145258,0.0057044848799705505,0.019652744755148888,0.034368064254522324
F_0111_9y6m_1 (mp3cut.net)4.mp3,Prolongatio sample,3.5809375,20.43673,39.306312561035156,0.014902209863066673,0.005372471176087856,0.00021096470300108194,0.0008728969260118902
F_0128_7y9m_1 (mp3cut.net)1.mp3,Prolongatio sample,1.909125,9.982251,9.67160415649414,0.016216101124882698,0.0010059893829748034,0.0006445872713811696,0.003151515731588006
F_0128_7y9m_1 (mp3cut.net)3.mp3,Prolongatio sample,2.90175,7.7693634,15.561385154724121,0.015498842112720013,0.0106078265234828,0.0010207340819761157,0.0075996932573616505
F_0560_10y0m_1 (mp3cut.net)1.mp3,Prolongatio sample,1.2821875,9.729985,17.093978881835938,0.037138931453228,0.02044902928173542,0.0033533307723701,0.002690054476261139
F_0811_10y6m_1 (mp3cut.net)1.mp3,Prolongatio sample,1.72625,13.320013,24.776323318481445,0.037676867097616196,0.015547619201242924,0.1903066188097,0.3700871467590332
F_0811_10y6m_1 (mp3cut.net)3.mp3,Prolongatio sample,3.3980625,13.000156,29.749847412109375,0.03977993503212929,0.008060311898589134,0.15503884851932526,0.18523845076560974
F_0988_12y8m_1 (mp3cut.net)3.mp3,Prolongatio sample,2.980125,16.239838,31.452455520629883,0.04382351040840149,0.01200022641569376,0.11438196152448654,0.37900835275650024
F_1116_09y6m_1 (mp3cut.net)5.mp3,Prolongatio sample,6.3499375,16.237556,54.210655212402344,0.010117849335074425,0.012703104875981808,0.0012578850146383047,0.0026450043078511953
F_1116_09y6m_1 (mp3cut.net)7.mp3,Prolongatio sample,4.416875,14.261175,43.65239715576172,0.021143559366464615,0.010937223210930824,0.0597112700343132,0.13930287957191467
M_0015_11y8m_1 (mp3cut.net)1.mp3,Prolongatio sample,1.883,24.228403,41.27092361450195,0.08833086490631104,0.05509958416223526,0.011292762123048306,0.018007654696702957
M_0016_07y10m_1 (mp3cut.net).mp3,Prolongatio sample,2.191,9.391421,24.663808822631836,0.019399821758270264,0.015443259850144386,0.07339397072792053,0.1250183880329132
M_0025_11y10m_1 (mp3cut.net)1.mp3,Prolongatio sample,5.0699375,7.4856324,40.477684020996094,0.018602555617690086,0.025553107261657715,0.03289012238383293,0.1466096043586731
M_0025_11y10m_1 (mp3cut.net)3.mp3,Prolongatio sample,2.1703125,6.329284,17.792402267456055,0.06467699259519577,0.057196762412786484,0.22866559028625488,0.4592594504356384
M_0025_11y10m_1 (mp3cut.net)4.mp3,Prolongatio sample,1.465,9.164104,15.442763328552246,0.04748592525720596,0.049142610281705856,0.011013483628630638,0.012854122556746006
M_0030_12y7m_1 (mp3cut.net)4.mp3,Prolongatio sample,1.674,14.394451,29.587615966796875,0.002035407815128565,0.003179367398843169,0.000947191787417978,0.0010338103165850043
M_0030_12y7m_1 (mp3cut.net)5.mp3,Prolongatio sample,2.3793125,9.251801,26.95290756225586,0.02620590850710869,0.014720594510436058,0.1271502822637558,0.2612161636352539
M_0030_12y7m_1 (mp3cut.net)6.mp3,Prolongatio sample,1.93525,17.091482,37.848602294921875,0.0118064284324646,0.008647254668176174,0.0799303650856018,0.13391701877117157
M_0030_13y1m_1 (mp3cut.net) (2).mp3,Prolongatio sample,1.674,17.65133,34.18629455566406,0.016544565558433533,0.008587311953306198,0.10213074833154678,0.14784231781959534
M_0053_10y2m_1 (mp3cut.net)2.mp3,Prolongatio sample,3.11075,30.777763,50.11513137817383,0.0610053725540638,0.009638061746954918,0.06393926590681076,0.17408697307109833
M_0053_10y2m_1 (mp3cut.net)3.mp3,Prolongatio sample,2.745,12.089596,16.691299438476562,0.020251205191016197,0.005590693559497595,0.11208902299404144,0.4031220078468323
M_0053_10y2m_1 (mp3cut.net)4.mp3,Prolongatio sample,2.4576875,20.993425,39.20541763305664,0.08282176405191422,0.030451297760009766,0.006557529792189598,0.013128687627613544
M_0053_10y8m_1 (mp3cut.net)1.mp3,Prolongatio sample,2.0658125,28.426102,42.453521728515625,0.037359923124313354,0.018273210152983665,0.19628551602363586,0.3700902462005615
M_0053_11y1m_1 (mp3cut.net)2.mp3,Prolongatio sample,2.0919375,26.857258,33.734500885009766,0.09766203910112381,0.018132010474801064,0.002597513608634472,0.0034284102730453014
